!SIL 1.0	SIL
<UNK> 1.0	SPN
guinness(4) 1.0	g u i n n e s s i
gul 1.0	g u l
gul(2) 1.0	g e l
gul(4) 1.0	g u l i
gulam 1.0	g u l a m
gulam(4) 1.0	g u l a m u
gulamali 1.0	g u l a m a l i
gulen 1.0	g u l e n
gulen(4) 1.0	g u l e n i
gulf 1.0	g u l f
gulf(2) 1.0	g e l f
gulf(3) 1.0	j i y u e l e f
gulf(4) 1.0	g u l f u
gulio 1.0	g u l i o
gulioni 1.0	g u l i o n i
gulla 1.0	g u l l a
gulla(2) 1.0	g e l e
gullam 1.0	g u l l a m
gullam(4) 1.0	g u l l a m u
gullit 1.0	g u l l i t
gullit(4) 1.0	g u l l i t i
gulu 1.0	g u l u
gulwe 1.0	g u l w e
gumanga 1.0	g u m a GG a
gumba 1.0	g u BB a
gumbo 1.0	g u BB o
gumbo(2) 1.0	g e m b o
gumegume 1.0	g u m e g u m e
gumpo 1.0	g u m p o
gumu 1.0	g u m u
gumzo 1.0	g u m z o
gun 1.0	g u n
gun(2) 1.0	g e n
gun(4) 1.0	g u n i
gunda 1.0	g u DD a
gundi 1.0	g u DD i
gundua 1.0	g u DD u a
gungu 1.0	g u GG u
gunia 1.0	g u n i a
gunia(2) 1.0	g u n i e
guninita 1.0	g u n i n i t a
gunners 1.0	g u n n e r s
gunners(2) 1.0	g e n e r z
gunners(4) 1.0	g u n n e r s i
gunze 1.0	g u ZZ e
gupta 1.0	g u p t a
gupta(2) 1.0	g u p t e
gurudumu 1.0	g u r u d u m u
gurumo 1.0	g u r u m o
guruneti 1.0	g u r u n e t i
gustav 1.0	g u s t a v
gustav(2) 1.0	g u s t a f
gustav(4) 1.0	g u s t a v u
guta 1.0	g u t a
guterres 1.0	g u t e r r e s
guterres(4) 1.0	g u t e r r e s i
guti 1.0	g u t i
gutierrez 1.0	g u t i e r r e z
gutierrez(2) 1.0	g u t y e r e z
gutierrez(4) 1.0	g u t i e r r e z i
gutu 1.0	g u t u
guu 1.0	g u u
guus 1.0	g u u s
guus(4) 1.0	g u u s i
guy 1.0	g u y
guy(2) 1.0	g a y
guyana 1.0	g u y a n a
guyana(2) 1.0	g a y a n e
guzman 1.0	g u z m a n
guzman(2) 1.0	g e z m e n
guzman(4) 1.0	g u z m a n i
gwabisaba 1.0	g w a b i s a b a
gwabisabi 1.0	g w a b i s a b i
gwakisa 1.0	g w a k i s a
gwalugano 1.0	g w a l u g a n o
gwamaka 1.0	g w a m a k a
gwanda 1.0	g w a DD a
gwandu 1.0	g w a DD u
gwao 1.0	g w a o
gwao(3) 1.0	j i d o b e l y u e o
gwaride 1.0	g w a r i d e
gwasabi 1.0	g w a s a b i
gwata 1.0	g w a t a
gwaza 1.0	g w a z a
gwebe 1.0	g w e b e
gwi 1.0	g w i
gwi(3) 1.0	j i d o b e l y u a y
gwiji 1.0	g w i j i
gwivaha 1.0	g w i v a h a
gx 1.0	g k s
gx(3) 1.0	j i e k s
gx(4) 1.0	g k s i
gyan 1.0	g y a n
gyan(3) 1.0	j i w a y e e n
gyan(4) 1.0	g y a n i
gym 1.0	g y m
gym(2) 1.0	j i m
gym(3) 1.0	j i w a y e m
gym(4) 1.0	g y m u
gymkhana 1.0	g y m XX a n a
gyude 1.0	g y u d e
gyurcsany 1.0	g y u r k s a n y
h 1.0	h
h(2) 1.0	e y CC
ha 1.0	h a
haachi 1.0	h a a CC i
haambiwi 1.0	h a a BB i w i
haamini 1.0	h a a m i n i
haaminiki 1.0	h a a m i n i k i
haangalii 1.0	h a a GG a l i i
haba 1.0	h a b a
habari 1.0	h a b a r i
habarileo 1.0	h a b a r i l e o
habel 1.0	h a b e l
habel(2) 1.0	h a b e l
habel(4) 1.0	h a b e l i
habib 1.0	h a b i b
habib(2) 1.0	h e b i b
habib(4) 1.0	h a b i b u
habiba 1.0	h a b i b a
habibu 1.0	h a b i b u
habitat 1.0	h a b i t a t
habitat(2) 1.0	h a b e t a t
habitat(4) 1.0	h a b i t a t i
habri 1.0	h a b r i
habyarimana 1.0	h a b y a r i m a n a
habyarimana(2) 1.0	h a b i e r i m a n e
hach 1.0	h a CC
hach(2) 1.0	h a CC
hach(4) 1.0	h a CC i
hachezi 1.0	h a CC e z i
hachoki 1.0	h a CC o k i
hachukui 1.0	h a CC u k u i
had 1.0	h a d
had(2) 1.0	h a d
had(4) 1.0	h a d i
hadaa 1.0	h a d a a
hadebe 1.0	h a d e b e
hadees 1.0	h a d e e s
hadees(4) 1.0	h a d e e s i
hadhani 1.0	h a LL a n i
hadhara 1.0	h a LL a r a
hadharani 1.0	h a LL a r a n i
hadhari 1.0	h a LL a r i
hadhi 1.0	h a LL i
hadhira 1.0	h a LL i r a
hadi 1.0	h a d i
hadidu 1.0	h a d i d u
hadija 1.0	h a d i j a
hadithi 1.0	h a d i TT i
hadji 1.0	h a d j i
hado 1.0	h a d o
hadood 1.0	h a d o o d
hadood(4) 1.0	h a d o o d i
hadoud 1.0	h a d o u d
hadoud(4) 1.0	h a d o u d i
hadu 1.0	h a d u
haelewani 1.0	h a e l e w a n i
haeleweki 1.0	h a e l e w e k i
haelewi 1.0	h a e l e w i
haelezi 1.0	h a e l e z i
haendi 1.0	h a e DD i
hafahamiki 1.0	h a f a h a m i k i
hafahamu 1.0	h a f a h a m u
hafai 1.0	h a f a i
hafanyi 1.0	h a f a n y i
hafi 1.0	h a f i
hafichi 1.0	h a f i CC i
hafidh 1.0	h a f i LL
hafidh(4) 1.0	h a f i LL i
hafidhi 1.0	h a f i LL i
hafifu 1.0	h a f i f u
hafiki 1.0	h a f i k i
hafikirii 1.0	h a f i k i r i i
hafla 1.0	h a f l a
hafsa 1.0	h a f s a
hafuati 1.0	h a f u a t i
hafurahii 1.0	h a f u r a h i i
hafurahishwi 1.0	h a f u r a h i SS w i
hagai 1.0	h a g a i
hagamu 1.0	h a g a m u
haggard 1.0	h a g g a r d
haggard(2) 1.0	h a g e r d
haggard(4) 1.0	h a g g a r d i
hagila 1.0	h a g i l a
hagombei 1.0	h a g o BB e i
hagu 1.0	h a g u
hague 1.0	h a g u e
hague(2) 1.0	h e y g
haguswi 1.0	h a g u s w i
hahaha 1.0	h a h a h a
hahahaha 1.0	h a h a h a h a
hahe 1.0	h a h e
haheshimu 1.0	h a h e SS i m u
hahitaji 1.0	h a h i t a j i
hahnel 1.0	h a h n e l
hahnel(4) 1.0	h a h n e l i
hahudhurii 1.0	h a h u LL u r i i
hahusiki 1.0	h a h u s i k i
hai 1.0	h a i
haiachi 1.0	h a i a CC i
haiamini 1.0	h a i a m i n i
haiaminiki 1.0	h a i a m i n i k i
haiangalii 1.0	h a i a GG a l i i
haiathiri 1.0	h a i a TT i r i
haiba 1.0	h a i b a
haibadiliki 1.0	h a i b a d i l i k i
haibagui 1.0	h a i b a g u i
haichezi 1.0	h a i CC e z i
haichukui 1.0	h a i CC u k u i
haidaiwi 1.0	h a i d a i w i
haidar 1.0	h a i d a r
haidar(4) 1.0	h a i d a r i
haidari 1.0	h a i d a r i
haidary 1.0	h a i d a r y
haidhuru 1.0	h a i LL u r u
haieleweki 1.0	h a i e l e w e k i
haielewi 1.0	h a i e l e w i
haielezi 1.0	h a i e l e z i
haiendani 1.0	h a i e DD a n i
haiendelei 1.0	h a i e DD e l e i
haiendeshwi 1.0	h a i e DD e SS w i
haiendi 1.0	h a i e DD i
haiepukiki 1.0	h a i e p u k i k i
haifa 1.0	h a i f a
haifa(2) 1.0	h a y f e
haifahamiki 1.0	h a i f a h a m i k i
haifahamu 1.0	h a i f a h a m u
haifai 1.0	h a i f a i
haifaidiki 1.0	h a i f a i d i k i
haifanani 1.0	h a i f a n a n i
haifanyi 1.0	h a i f a n y i
haifanyiki 1.0	h a i f a n y i k i
haifanyiwi 1.0	h a i f a n y i w i
haifiki 1.0	h a i f i k i
haifikii 1.0	h a i f i k i i
haifuati 1.0	h a i f u a t i
haifungamani 1.0	h a i f u GG a m a n i
haifurahii 1.0	h a i f u r a h i i
haihitaji 1.0	h a i h i t a j i
haihusiani 1.0	h a i h u s i a n i
haihusiki 1.0	h a i h u s i k i
haihusishi 1.0	h a i h u s i SS i
haihusu 1.0	h a i h u s u
haiingii 1.0	h a i i GG i i
haiingiliwi 1.0	h a i i GG i l i w i
haiishi 1.0	h a i i SS i
haiishii 1.0	h a i i SS i i
haiitambui 1.0	h a i i t a BB u i
haijaamua 1.0	h a i j a a m u a
haijaamuliwa 1.0	h a i j a a m u l i w a
haijaanza 1.0	h a i j a a ZZ a
haijaathirika 1.0	h a i j a a TT i r i k a
haijabadilika 1.0	h a i j a b a d i l i k a
haijabainika 1.0	h a i j a b a i n i k a
haijaboreka 1.0	h a i j a b o r e k a
haijacheza 1.0	h a i j a CC e z a
haijachukua 1.0	h a i j a CC u k u a
haijaeleweka 1.0	h a i j a e l e w e k a
haijaeleza 1.0	h a i j a e l e z a
haijaelezwa 1.0	h a i j a e l e z w a
haijaenda 1.0	h a i j a e DD a
haijafahamika 1.0	h a i j a f a h a m i k a
haijafanikiwa 1.0	h a i j a f a n i k i w a
haijafanya 1.0	h a i j a f a n y a
haijafanyika 1.0	h a i j a f a n y i k a
haijafanyiwa 1.0	h a i j a f a n y i w a
haijafika 1.0	h a i j a f i k a
haijafikia 1.0	h a i j a f i k i a
haijafikiwa 1.0	h a i j a f i k i w a
haijafungwa 1.0	h a i j a f u GG w a
haijafutwa 1.0	h a i j a f u t w a
haijaingia 1.0	h a i j a i GG i a
haijaisha 1.0	h a i j a i SS a
haijajengwa 1.0	h a i j a j e GG w a
haijajiandaa 1.0	h a i j a j i a DD a a
haijajibu 1.0	h a i j a j i b u
haijajulikana 1.0	h a i j a j u l i k a n a
haijakaa 1.0	h a i j a k a a
haijakamilika 1.0	h a i j a k a m i l i k a
haijakamilisha 1.0	h a i j a k a m i l i SS a
haijakata 1.0	h a i j a k a t a
haijakomaa 1.0	h a i j a k o m a a
haijakutana 1.0	h a i j a k u t a n a
haijakuwa 1.0	h a i j a k u w a
haijaleta 1.0	h a i j a l e t a
haijali 1.0	h a i j a l i
haijalipa 1.0	h a i j a l i p a
haijalipwa 1.0	h a i j a l i p w a
haijalishi 1.0	h a i j a l i SS i
haijamaliza 1.0	h a i j a m a l i z a
haijamalizika 1.0	h a i j a m a l i z i k a
haijaona 1.0	h a i j a o n a
haijaondoka 1.0	h a i j a o DD o k a
haijaonekana 1.0	h a i j a o n e k a n a
haijaonyesha 1.0	h a i j a o n y e SS a
haijaoteshwa 1.0	h a i j a o t e SS w a
haijapanda 1.0	h a i j a p a DD a
haijapangiwa 1.0	h a i j a p a GG i w a
haijapangwa 1.0	h a i j a p a GG w a
haijapata 1.0	h a i j a p a t a
haijapatikana 1.0	h a i j a p a t i k a n a
haijapatiwa 1.0	h a i j a p a t i w a
haijapewa 1.0	h a i j a p e w a
haijapita 1.0	h a i j a p i t a
haijapitishwa 1.0	h a i j a p i t i SS w a
haijapokea 1.0	h a i j a p o k e a
haijapoteza 1.0	h a i j a p o t e z a
haijaridhia 1.0	h a i j a r i LL i a
haijaridhishwa 1.0	h a i j a r i LL i SS w a
haijaruhusu 1.0	h a i j a r u h u s u
haijasaini 1.0	h a i j a s a i n i
haijasajiliwa 1.0	h a i j a s a j i l i w a
haijasema 1.0	h a i j a s e m a
haijashinda 1.0	h a i j a SS i DD a
haijashindwa 1.0	h a i j a SS i DD w a
haijatambuliwa 1.0	h a i j a t a BB u l i w a
haijatangaza 1.0	h a i j a t a GG a z a
haijatangazwa 1.0	h a i j a t a GG a z w a
haijatekeleza 1.0	h a i j a t e k e l e z a
haijatekelezwa 1.0	h a i j a t e k e l e z w a
haijatenga 1.0	h a i j a t e GG a
haijatengemaa 1.0	h a i j a t e GG e m a a
haijathibitisha 1.0	h a i j a TT i b i t i SS a
haijathibitishwa 1.0	h a i j a TT i b i t i SS w a
haijatimiza 1.0	h a i j a t i m i z a
haijatoa 1.0	h a i j a t o a
haijatoka 1.0	h a i j a t o k a
haijatokea 1.0	h a i j a t o k e a
haijatolewa 1.0	h a i j a t o l e w a
haijatulia 1.0	h a i j a t u l i a
haijatumia 1.0	h a i j a t u m i a
haijatumika 1.0	h a i j a t u m i k a
haijauzwa 1.0	h a i j a u z w a
haijavunja 1.0	h a i j a v u JJ a
haijavunjwa 1.0	h a i j a v u JJ w a
haijawa 1.0	h a i j a w a
haijawafikia 1.0	h a i j a w a f i k i a
haijawahi 1.0	h a i j a w a h i
haijawalipa 1.0	h a i j a w a l i p a
haijawasilisha 1.0	h a i j a w a s i l i SS a
haijawatendea 1.0	h a i j a w a t e DD e a
haijaweka 1.0	h a i j a w e k a
haijawekeza 1.0	h a i j a w e k e z a
haijawekwa 1.0	h a i j a w e k w a
haijaweza 1.0	h a i j a w e z a
haijengi 1.0	h a i j e GG i
haijengwi 1.0	h a i j e GG w i
haiji 1.0	h a i j i
haijitokezi 1.0	h a i j i t o k e z i
haijui 1.0	h a i j u i
haijulikani 1.0	h a i j u l i k a n i
haijumuishi 1.0	h a i j u m u i SS i
haikidhi 1.0	h a i k i LL i
haiko 1.0	h a i k o
haikosi 1.0	h a i k o s i
haiku 1.0	h a i k u
haiku(2) 1.0	h a y k u
haikuandaliwa 1.0	h a i k u a DD a l i w a
haikuanza 1.0	h a i k u a ZZ a
haikubadilika 1.0	h a i k u b a d i l i k a
haikubali 1.0	h a i k u b a l i
haikubaliani 1.0	h a i k u b a l i a n i
haikubaliki 1.0	h a i k u b a l i k i
haikucheza 1.0	h a i k u CC e z a
haikuchukua 1.0	h a i k u CC u k u a
haikudumu 1.0	h a i k u d u m u
haikueleweka 1.0	h a i k u e l e w e k a
haikueleza 1.0	h a i k u e l e z a
haikuelezwa 1.0	h a i k u e l e z w a
haikufafanua 1.0	h a i k u f a f a n u a
haikufahamika 1.0	h a i k u f a h a m i k a
haikufanikiwa 1.0	h a i k u f a n i k i w a
haikufanya 1.0	h a i k u f a n y a
haikufanyika 1.0	h a i k u f a n y i k a
haikufika 1.0	h a i k u f i k a
haikufikia 1.0	h a i k u f i k i a
haikufuata 1.0	h a i k u f u a t a
haikuhusika 1.0	h a i k u h u s i k a
haikuifurahisha 1.0	h a i k u i f u r a h i SS a
haikuishia 1.0	h a i k u i SS i a
haikuja 1.0	h a i k u j a
haikujengwa 1.0	h a i k u j e GG w a
haikujibu 1.0	h a i k u j i b u
haikujulikana 1.0	h a i k u j u l i k a n a
haikukamilika 1.0	h a i k u k a m i l i k a
haikukubaliana 1.0	h a i k u k u b a l i a n a
haikulenga 1.0	h a i k u l e GG a
haikuona 1.0	h a i k u o n a
haikuonekana 1.0	h a i k u o n e k a n a
haikuonyesha 1.0	h a i k u o n y e SS a
haikupaswa 1.0	h a i k u p a s w a
haikupata 1.0	h a i k u p a t a
haikupatikana 1.0	h a i k u p a t i k a n a
haikupewa 1.0	h a i k u p e w a
haikupita 1.0	h a i k u p i t a
haikupoteza 1.0	h a i k u p o t e z a
haikuridhika 1.0	h a i k u r i LL i k a
haikuridhishwa 1.0	h a i k u r i LL i SS w a
haikuruhusu 1.0	h a i k u r u h u s u
haikusaidia 1.0	h a i k u s a i d i a
haikusajiliwa 1.0	h a i k u s a j i l i w a
haikusema 1.0	h a i k u s e m a
haikushangaza 1.0	h a i k u SS a GG a z a
haikushiriki 1.0	h a i k u SS i r i k i
haikustahili 1.0	h a i k u s t a h i l i
haikusudii 1.0	h a i k u s u d i i
haikutaja 1.0	h a i k u t a j a
haikutajwa 1.0	h a i k u t a j w a
haikutaka 1.0	h a i k u t a k a
haikutakiwa 1.0	h a i k u t a k i w a
haikutangaza 1.0	h a i k u t a GG a z a
haikutarajiwa 1.0	h a i k u t a r a j i w a
haikutegemewa 1.0	h a i k u t e g e m e w a
haikutekeleza 1.0	h a i k u t e k e l e z a
haikutekelezwa 1.0	h a i k u t e k e l e z w a
haikutenda 1.0	h a i k u t e DD a
haikutendeka 1.0	h a i k u t e DD e k a
haikutendewa 1.0	h a i k u t e DD e w a
haikutimia 1.0	h a i k u t i m i a
haikutimiza 1.0	h a i k u t i m i z a
haikutoa 1.0	h a i k u t o a
haikutokana 1.0	h a i k u t o k a n a
haikutokea 1.0	h a i k u t o k e a
haikutolewa 1.0	h a i k u t o l e w a
haikutosha 1.0	h a i k u t o SS a
haikuwa 1.0	h a i k u w a
haikuwahi 1.0	h a i k u w a h i
haikuwapa 1.0	h a i k u w a p a
haikuwapo 1.0	h a i k u w a p o
haikuwatendea 1.0	h a i k u w a t e DD e a
haikuweka 1.0	h a i k u w e k a
haikuwekwa 1.0	h a i k u w e k w a
haikuwepo 1.0	h a i k u w e p o
haikuweza 1.0	h a i k u w e z a
haikuwezekana 1.0	h a i k u w e z e k a n a
haikuzaa 1.0	h a i k u z a a
haikuzingatia 1.0	h a i k u z i GG a t i a
haikwenda 1.0	h a i k w e DD a
haikwepeki 1.0	h a i k w e p e k i
haile 1.0	h a i l e
haile(2) 1.0	h e y l
hailengi 1.0	h a i l e GG i
haileti 1.0	h a i l e t i
hailingani 1.0	h a i l i GG a n i
hailipi 1.0	h a i l i p i
haimaanishi 1.0	h a i m a a n i SS i
haimhusu 1.0	h a i m h u s u
haimo 1.0	h a i m o
haimpi 1.0	h a i m p i
haimruhusu 1.0	h a i m r u h u s u
haimsaidii 1.0	h a i m s a i d i i
haimtambui 1.0	h a i m t a BB u i
haimzuii 1.0	h a i m z u i i
haina 1.0	h a i n a
haingii 1.0	h a i GG i i
hainiingii 1.0	h a i n i i GG i i
hainipi 1.0	h a i n i p i
hainufaiki 1.0	h a i n u f a i k i
haiogopi 1.0	h a i o g o p i
haiombwi 1.0	h a i o BB w i
haiondoi 1.0	h a i o DD o i
haionekani 1.0	h a i o n e k a n i
haiongozwi 1.0	h a i o GG o z w i
haioni 1.0	h a i o n i
haionyeshi 1.0	h a i o n y e SS i
haipaswi 1.0	h a i p a s w i
haipati 1.0	h a i p a t i
haipatikani 1.0	h a i p a t i k a n i
haipendezi 1.0	h a i p e DD e z i
haipendi 1.0	h a i p e DD i
haipendwi 1.0	h a i p e DD w i
haipewi 1.0	h a i p e w i
haipingani 1.0	h a i p i GG a n i
haipiti 1.0	h a i p i t i
haipitiki 1.0	h a i p i t i k i
haipo 1.0	h a i p o
haipotei 1.0	h a i p o t e i
haipotezi 1.0	h a i p o t e z i
haipungui 1.0	h a i p u GG u i
hairidhishi 1.0	h a i r i LL i SS i
hairidhishwi 1.0	h a i r i LL i SS w i
hairudi 1.0	h a i r u d i
hairuhusiwi 1.0	h a i r u h u s i w i
hairuhusu 1.0	h a i r u h u s u
haisaidii 1.0	h a i s a i d i i
haisemi 1.0	h a i s e m i
haishambuliwi 1.0	h a i SS a BB u l i w i
haishangazi 1.0	h a i SS a GG a z i
haishi 1.0	h a i SS i
haishii 1.0	h a i SS i i
haishindwi 1.0	h a i SS i DD w i
haishuki 1.0	h a i SS u k i
haisikiki 1.0	h a i s i k i k i
haistahili 1.0	h a i s t a h i l i
haitaacha 1.0	h a i t a a CC a
haitaathiri 1.0	h a i t a a TT i r i
haitaathirika 1.0	h a i t a a TT i r i k a
haitabadili 1.0	h a i t a b a d i l i
haitabadilika 1.0	h a i t a b a d i l i k a
haitabadilishwa 1.0	h a i t a b a d i l i SS w a
haitabiriki 1.0	h a i t a b i r i k i
haitachukua 1.0	h a i t a CC u k u a
haitadhibitiwa 1.0	h a i t a LL i b i t i w a
haitaendelea 1.0	h a i t a e DD e l e a
haitafanikiwa 1.0	h a i t a f a n i k i w a
haitafanya 1.0	h a i t a f a n y a
haitafanyika 1.0	h a i t a f a n y i k a
haitafanyiwa 1.0	h a i t a f a n y i w a
haitafika 1.0	h a i t a f i k a
haitafikia 1.0	h a i t a f i k i a
haitahusika 1.0	h a i t a h u s i k a
haitaingilia 1.0	h a i t a i GG i l i a
haitaisha 1.0	h a i t a i SS a
haitaishia 1.0	h a i t a i SS i a
haitaji 1.0	h a i t a j i
haitakaa 1.0	h a i t a k a a
haitaki 1.0	h a i t a k i
haitakii 1.0	h a i t a k i i
haitakiwi 1.0	h a i t a k i w i
haitakoma 1.0	h a i t a k o m a
haitakubali 1.0	h a i t a k u b a l i
haitakuwa 1.0	h a i t a k u w a
haitakuwapo 1.0	h a i t a k u w a p o
haitakuwepo 1.0	h a i t a k u w e p o
haitakwenda 1.0	h a i t a k w e DD a
haitaleta 1.0	h a i t a l e t a
haitalipwa 1.0	h a i t a l i p w a
haitambui 1.0	h a i t a BB u i
haitambuliki 1.0	h a i t a BB u l i k i
haitaongeza 1.0	h a i t a o GG e z a
haitapata 1.0	h a i t a p a t a
haitapatikana 1.0	h a i t a p a t i k a n a
haitapita 1.0	h a i t a p i t a
haitarajii 1.0	h a i t a r a j i i
haitarajiwi 1.0	h a i t a r a j i w i
haitarudi 1.0	h a i t a r u d i
haitaruhusiwa 1.0	h a i t a r u h u s i w a
haitaruhusu 1.0	h a i t a r u h u s u
haitasahaulika 1.0	h a i t a s a h a u l i k a
haitasaidia 1.0	h a i t a s a i d i a
haitashangaza 1.0	h a i t a SS a GG a z a
haitashiriki 1.0	h a i t a SS i r i k i
haitashughulikia 1.0	h a i t a SS u RR u l i k i a
haitasita 1.0	h a i t a s i t a
haitasitisha 1.0	h a i t a s i t i SS a
haitatekeleza 1.0	h a i t a t e k e l e z a
haitatoa 1.0	h a i t a t o a
haitatoka 1.0	h a i t a t o k a
haitatokea 1.0	h a i t a t o k e a
haitatumia 1.0	h a i t a t u m i a
haitaunda 1.0	h a i t a u DD a
haitavumilia 1.0	h a i t a v u m i l i a
haitawaliki 1.0	h a i t a w a l i k i
haitawasaidia 1.0	h a i t a w a s a i d i a
haitawavumilia 1.0	h a i t a w a v u m i l i a
haitaweka 1.0	h a i t a w e k a
haitaweza 1.0	h a i t a w e z a
haitawezekana 1.0	h a i t a w e z e k a n a
haitazidi 1.0	h a i t a z i d i
haitegemei 1.0	h a i t e g e m e i
haitekelezeki 1.0	h a i t e k e l e z e k i
haitekelezi 1.0	h a i t e k e l e z i
haitekelezwi 1.0	h a i t e k e l e z w i
haitendi 1.0	h a i t e DD i
haiti 1.0	h a i t i
haiti(2) 1.0	h e y t i
haitibiki 1.0	h a i t i b i k i
haitimizi 1.0	h a i t i m i z i
haitishwi 1.0	h a i t i SS w i
haitofautiani 1.0	h a i t o f a u t i a n i
haitoi 1.0	h a i t o i
haitokani 1.0	h a i t o k a n i
haitoki 1.0	h a i t o k i
haitokuwa 1.0	h a i t o k u w a
haitolewi 1.0	h a i t o l e w i
haitoshelezi 1.0	h a i t o SS e l e z i
haitoshi 1.0	h a i t o SS i
haitoweza 1.0	h a i t o w e z a
haitumii 1.0	h a i t u m i i
haitumiki 1.0	h a i t u m i k i
haitusaidii 1.0	h a i t u s a i d i i
haitwi 1.0	h a i t w i
haiui 1.0	h a i u i
haiungi 1.0	h a i u GG i
haiuzi 1.0	h a i u z i
haiuzwi 1.0	h a i u z w i
haivumiliki 1.0	h a i v u m i l i k i
haivunji 1.0	h a i v u JJ i
haivutii 1.0	h a i v u t i i
haiwafikii 1.0	h a i w a f i k i i
haiwahusu 1.0	h a i w a h u s u
haiwajali 1.0	h a i w a j a l i
haiwajibiki 1.0	h a i w a j i b i k i
haiwapi 1.0	h a i w a p i
haiwaruhusu 1.0	h a i w a r u h u s u
haiwasaidii 1.0	h a i w a s a i d i i
haiwatambui 1.0	h a i w a t a BB u i
haiwatendei 1.0	h a i w a t e DD e i
haiweki 1.0	h a i w e k i
haiwezekani 1.0	h a i w e z e k a n i
haiwezi 1.0	h a i w e z i
haiwi 1.0	h a i w i
haiyumkini 1.0	h a i y u m k i n i
haiyumkiniki 1.0	h a i y u m k i n i k i
haizalishi 1.0	h a i z a l i SS i
haizidi 1.0	h a i z i d i
haizingatii 1.0	h a i z i GG a t i i
haizuii 1.0	h a i z u i i
haizungumzii 1.0	h a i z u GG u m z i i
haja 1.0	h a j a
hajaacha 1.0	h a j a a CC a
hajaambukizwa 1.0	h a j a a BB u k i z w a
hajaamua 1.0	h a j a a m u a
hajaanza 1.0	h a j a a ZZ a
hajacheza 1.0	h a j a CC e z a
hajachukua 1.0	h a j a CC u k u a
hajachukuliwa 1.0	h a j a CC u k u l i w a
hajaelewa 1.0	h a j a e l e w a
hajaeleza 1.0	h a j a e l e z a
hajaenda 1.0	h a j a e DD a
hajafa 1.0	h a j a f a
hajafahamika 1.0	h a j a f a h a m i k a
hajafanikiwa 1.0	h a j a f a n i k i w a
hajafanya 1.0	h a j a f a n y a
hajafariki 1.0	h a j a f a r i k i
hajafika 1.0	h a j a f i k a
hajafikia 1.0	h a j a f i k i a
hajafikiria 1.0	h a j a f i k i r i a
hajafikisha 1.0	h a j a f i k i SS a
hajafikishwa 1.0	h a j a f i k i SS w a
hajafunga 1.0	h a j a f u GG a
hajafurahishwa 1.0	h a j a f u r a h i SS w a
hajaingia 1.0	h a j a i GG i a
hajaipa 1.0	h a j a i p a
hajaitwa 1.0	h a j a i t w a
hajaja 1.0	h a j a j a
hajajibu 1.0	h a j a j i b u
hajajitokeza 1.0	h a j a j i t o k e z a
hajajiunga 1.0	h a j a j i u GG a
hajajua 1.0	h a j a j u a
hajajulikana 1.0	h a j a j u l i k a n a
hajakamatwa 1.0	h a j a k a m a t w a
hajakamilisha 1.0	h a j a k a m i l i SS a
hajakata 1.0	h a j a k a t a
hajakomaa 1.0	h a j a k o m a a
hajakosea 1.0	h a j a k o s e a
hajakutana 1.0	h a j a k u t a n a
hajaleta 1.0	h a j a l e t a
hajali 1.0	h a j a l i
hajalipa 1.0	h a j a l i p a
hajalipwa 1.0	h a j a l i p w a
hajamaliza 1.0	h a j a m a l i z a
hajaoa 1.0	h a j a o a
hajaolewa 1.0	h a j a o l e w a
hajaomba 1.0	h a j a o BB a
hajaona 1.0	h a j a o n a
hajaondoka 1.0	h a j a o DD o k a
hajaonekana 1.0	h a j a o n e k a n a
hajaonyesha 1.0	h a j a o n y e SS a
hajapanda 1.0	h a j a p a DD a
hajapata 1.0	h a j a p a t a
hajapatikana 1.0	h a j a p a t i k a n a
hajapatiwa 1.0	h a j a p a t i w a
hajapewa 1.0	h a j a p e w a
hajapokea 1.0	h a j a p o k e a
hajapona 1.0	h a j a p o n a
hajapoteza 1.0	h a j a p o t e z a
hajarejea 1.0	h a j a r e j e a
hajaridhika 1.0	h a j a r i LL i k a
hajaridhishwa 1.0	h a j a r i LL i SS w a
hajaripoti 1.0	h a j a r i p o t i
hajarudi 1.0	h a j a r u d i
hajasaini 1.0	h a j a s a i n i
hajasajiliwa 1.0	h a j a s a j i l i w a
hajasema 1.0	h a j a s e m a
hajashinda 1.0	h a j a SS i DD a
hajashindwa 1.0	h a j a SS i DD w a
hajasikia 1.0	h a j a s i k i a
hajasoma 1.0	h a j a s o m a
hajat 1.0	h a j a t
hajat(4) 1.0	h a j a t i
hajatajwa 1.0	h a j a t a j w a
hajatambulika 1.0	h a j a t a BB u l i k a
hajatambuliwa 1.0	h a j a t a BB u l i w a
hajatangaza 1.0	h a j a t a GG a z a
hajatekeleza 1.0	h a j a t e k e l e z a
hajatendewa 1.0	h a j a t e DD e w a
hajateuliwa 1.0	h a j a t e u l i w a
hajatimiza 1.0	h a j a t i m i z a
hajatoa 1.0	h a j a t o a
hajatoka 1.0	h a j a t o k a
hajatokea 1.0	h a j a t o k e a
hajatumia 1.0	h a j a t u m i a
hajavaa 1.0	h a j a v a a
hajavunja 1.0	h a j a v u JJ a
hajawa 1.0	h a j a w a
hajawahi 1.0	h a j a w a h i
hajawasili 1.0	h a j a w a s i l i
hajawasiliana 1.0	h a j a w a s i l i a n a
hajawasilisha 1.0	h a j a w a s i l i SS a
hajaweka 1.0	h a j a w e k a
hajaweza 1.0	h a j a w e z a
